Device Type: FT1080
Firmware Version:20240731113137
Start Freqency Division:1
Window Resolution:64ps
Mask Window:0 ns
Start Threshold:1499mV
Stop Threshold:1499mV
Stop Delay(ns):ch0 0.0 ns,ch1 0.0 ns,ch2 0.0 ns,ch3 0.0 ns,ch4 0.0 ns,ch5 0.0 ns,ch6 0.0 ns,ch7 0.0 ns,
Mode:T3

[Flag:] 0(Event)	1(Control Field)
Flag	 Channel	 Time(bin)	 Time(ps)	 Seq
0	53	25645	1641280	787
0	1	3528	225792	1396
0	0	28573	1828672	1498
0	1	11295	722880	1519
0	1	12323	788672	1519
0	1	13970	894080	1519
0	0	6934	443776	1534
0	0	402	25728	1568
0	1	21128	1352192	2274
0	1	25073	1604672	2905
0	1	20053	1283392	3160
0	1	2544	162816	3797
0	1	17567	1124288	4069
0	3	26647	1705408	4120
0	2	4538	290432	4289
0	0	11983	766912	4382
0	2	7489	479296	4667
0	0	26086	1669504	5283
0	3	12349	790336	6026
0	3	18912	1210368	6523
0	2	1090	69760	7094
0	1	19943	1276352	7732
0	3	4442	284288	7825
0	0	17669	1130816	8159
0	0	18583	1189312	8159
0	0	22613	1447232	8256
0	3	28482	1822848	8305
0	3	30113	1927232	8305
0	2	24823	1588672	8311
0	2	29425	1883200	8311
0	2	17154	1097856	8441
0	0	10657	682048	9223
0	0	29254	1872256	9234
0	0	28276	1809664	9260
0	2	15508	992512	9475
0	2	16669	1066816	9475
0	2	17659	1130176	9475
0	2	24653	1577792	9475
0	3	24328	1556992	9604
0	3	20753	1328192	10197
0	0	22869	1463616	10320
0	1	16191	1036224	10476
0	0	3742	239488	10600
0	2	3035	194240	10894
0	0	4869	311616	10962
0	1	570	36480	11019
0	1	15889	1016896	11045
0	0	11334	725376	11053
0	1	12867	823488	11519
0	0	13711	877504	11872
0	2	3162	202368	12183
0	1	1842	117888	12377
0	2	19267	1233088	12558
0	0	21116	1351424	12823
0	2	17103	1094592	12910
0	2	26716	1709824	13220
0	0	13129	840256	13271
0	0	3101	198464	13377
0	3	5383	344512	13804
0	2	3958	253312	13867
0	0	9794	626816	13979
